area_title,occ_title,tot_emp
Alabama,"Loading and Moving Machine Operators, Underground Mining",120
Alabama,"Roustabouts, Oil and Gas",**
Alabama,Helpers--Extraction Workers,260
Alabama,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",330
Alabama,"Underground Mining Machine Operators and Extraction Workers, All Other",400
Alabama,"Installation, Maintenance, and Repair Occupations","98,500"
Alabama,"First-Line Supervisors of Mechanics, Installers, and Repairers","9,380"
Alabama,"Computer, Automated Teller, and Office Machine Repairers","1,590"
Alabama,"Radio, Cellular, and Tower Equipment Installers and Repairers",370
Alabama,"Telecommunications Equipment Installers and Repairers, Except Line Installers","3,650"
Alabama,Avionics Technicians,960
Alabama,"Electric Motor, Power Tool, and Related Repairers",440
Alabama,"Electrical and Electronics Installers and Repairers, Transportation Equipment",150
Alabama,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","1,350"
Alabama,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",840
Alabama,"Electronic Equipment Installers and Repairers, Motor Vehicles",70
Alabama,Audiovisual Equipment Installers and Repairers,150
Alabama,Security and Fire Alarm Systems Installers,"1,120"
Alabama,Aircraft Mechanics and Service Technicians,**
Alabama,Automotive Body and Related Repairers,"2,420"
Alabama,Automotive Glass Installers and Repairers,460
Alabama,Automotive Service Technicians and Mechanics,"8,550"
Alabama,Bus and Truck Mechanics and Diesel Engine Specialists,"4,790"
Alabama,Farm Equipment Mechanics and Service Technicians,620
Alabama,"Mobile Heavy Equipment Mechanics, Except Engines","3,130"
Alabama,Rail Car Repairers,320
Alabama,Motorboat Mechanics and Service Technicians,450
Alabama,Motorcycle Mechanics,310
Alabama,Outdoor Power Equipment and Other Small Engine Mechanics,620
Alabama,Recreational Vehicle Service Technicians,270
Alabama,Tire Repairers and Changers,"3,130"
Alabama,Mechanical Door Repairers,230
Alabama,"Control and Valve Installers and Repairers, Except Mechanical Door","1,100"
Alabama,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","6,430"
Alabama,Home Appliance Repairers,250
Alabama,Industrial Machinery Mechanics,"12,280"
Alabama,"Maintenance Workers, Machinery","1,550"
Alabama,Millwrights,"1,370"
Alabama,"Refractory Materials Repairers, Except Brickmasons",50
Alabama,Electrical Power-Line Installers and Repairers,"3,170"
Alabama,Telecommunications Line Installers and Repairers,"1,330"
Alabama,Medical Equipment Repairers,630
Alabama,Musical Instrument Repairers and Tuners,90
Alabama,"Precision Instrument and Equipment Repairers, All Other",170
Alabama,"Maintenance and Repair Workers, General","15,240"
Alabama,"Coin, Vending, and Amusement Machine Servicers and Repairers",750
Alabama,Commercial Divers,**
Alabama,Locksmiths and Safe Repairers,300
Alabama,Manufactured Building and Mobile Home Installers,**
Alabama,Riggers,390
